[0.91031798 1.01337657]
[0.70021118 5.91366056]
[0.70927903 4.89236791]
[0.71446622 3.24149109]
[0.7237187  2.45098039]
[0.72289359 2.95420975]
[0.72947663 2.13265089]
[0.73733022 1.84535892]
[0.71875736 3.22788896]
[0.83075753 1.02827763]
[0.84227341 1.0230179 ]
[0.72022416 2.97265161]
[0.73440488 2.04708291]
[0.75698883 1.52392563]
[0.77252478 1.35080373]
[0.90244623 1.01368474]
[0.88314056 1.01502233]
[0.76942933 1.40272128]
[0.80849411 1.06044539]
[0.81911934 1.04931794]
[0.86150285 1.01801894]
[0.86832135 1.01626016]
[0.81447288 1.05618927]
[0.74423974 1.75346309]
[0.77709537 1.27616131]
[0.74207091 1.81554103]
[0.76511415 1.46370023]
[0.76191707 1.47775972]
[0.77728291 1.20394895]
[0.85660139 1.01895252]
[0.85121786 1.01926409]
[0.87634933 1.01564087]
[0.88862527 1.01440454]
[0.89782155 1.0139931 ]
[0.78400489 1.19061793]
[0.79589575 1.09493047]
[0.89289095 1.01430165]
[0.74898044 1.71821306]
[0.75500754 1.62232317]
[0.80280528 1.06382979]
[0.84653909 1.02239035]
[0.73366025 2.11864407]
[0.80010401 1.07758621]
[0.79218339 1.1096316 ]
[0.87298946 1.01584722]
[0.82527282 1.0301844 ]
[0.75258606 1.63478829]
[0.74916798 1.65371258]
[0.78967714 1.14142221]
[0.78735492 1.1418132 ]
